route_id,trip_id,stop_id,arrival_time,departure_time,shape_dist_traveled,stop_headsign,stop_name,stop_lat,stop_lon
14C,5982745d-456f-4cc0-9122-ad3388e17a76,BUS557,22:03:00,22:03:00,5163.09,to Tower Acres and Physics,Physics Building: BUS557,40.430362,-86.913149
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS146,19:15:00,19:15:00,0.0,to Tower Acres and Physics,Aviation Technology Bldg: BUS146,40.4165685425144,-86.9298910754854
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,5419,19:17:11,19:17:11,593.64,to Tower Acres and Physics,Airport Rd & Harrison St (NW corner),40.4215152208192,-86.9304708090822
14C,7eaddbb1-cfc9-4176-a0b7-e96c2028dfcc,BUS146,20:15:00,20:15:00,3381.61,to Airport and AvTech,Aviation Technology Bldg: BUS146,40.4165685425144,-86.9298910754854
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS566S,19:18:37,19:18:37,984.59,to Tower Acres and Physics,Purdue West on Mitch Daniels Blvd (South): BUS566S,40.4242021098257,-86.9293586569642
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS584SE,19:21:25,19:21:25,1742.0,to Tower Acres and Physics,1st St & Jischke Dr (East Corner): BUS584SE,40.4251770928608,-86.9218819988896
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS289,19:22:17,19:22:17,1977.98,to Tower Acres and Physics,Jischke Dr & 3rd St (SE Corner): BUS289,40.4272102074152,-86.9219798995244
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS362,19:23:03,19:23:03,2186.24,to Tower Acres and Physics,Wiley Dining/RSC on Jischke Dr: BUS362,40.4290434973862,-86.921574885939
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS201,19:24:00,19:24:00,2442.37,to Tower Acres and Physics,Jischke Dr & Stadium Ave (SE Corner): BUS201,40.4313482349232,-86.9215291144598
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS509SE,19:24:31,19:24:31,2613.28,to Tower Acres and Physics,Jischke Dr & Tower Dr (SE Corner): BUS509SE,40.4328844209244,-86.9214300466436
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS472N,19:25:02,19:25:02,2780.15,to Tower Acres and Physics,Tower Dr & Hilltop Dr (NE Corner): BUS472N,40.4332773645685,-86.9231989635944
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS562N,19:25:49,19:25:49,3036.67,to Tower Acres and Physics,Theta Chi on Tower Dr: BUS562N,40.4332438369539,-86.9261467114774
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS554E,19:26:34,19:26:34,3283.28,to Tower Acres and Physics,Alpha Chi on David Ross Rd: BUS554E,40.4343180617284,-86.9256786659764
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS553,19:27:00,19:27:00,3419.97,to Tower Acres and Physics,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS554W,19:27:25,19:27:25,3543.92,to Tower Acres and Physics,Alpha Chi on David Ross Rd: BUS554W,40.4344240089908,-86.9257041469636
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS011,19:19:52,19:19:52,1322.93,to Tower Acres and Physics,Aspire Apts at Discovery Park: BUS011,40.4242,-86.925359
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS146,18:15:00,18:15:00,0.0,to Tower Acres and Physics,Aviation Technology Bldg: BUS146,40.4165685425144,-86.9298910754854
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS362,23:53:03,23:53:03,2186.24,to Tower Acres and Physics,Wiley Dining/RSC on Jischke Dr: BUS362,40.4290434973862,-86.921574885939
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS566S,18:18:37,18:18:37,984.59,to Tower Acres and Physics,Purdue West on Mitch Daniels Blvd (South): BUS566S,40.4242021098257,-86.9293586569642
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS554E,18:26:34,18:26:34,3283.28,to Tower Acres and Physics,Alpha Chi on David Ross Rd: BUS554E,40.4343180617284,-86.9256786659764
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS553,18:27:00,18:27:00,3419.97,to Tower Acres and Physics,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS554W,18:27:25,18:27:25,3543.92,to Tower Acres and Physics,Alpha Chi on David Ross Rd: BUS554W,40.4344240089908,-86.9257041469636
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS562S,18:28:26,18:28:26,3838.39,to Tower Acres and Physics,Theta Chi on Tower Dr: BUS562S,40.4331875105612,-86.9259388402664
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS472S,18:29:16,18:29:16,4082.35,to Tower Acres and Physics,Tower Dr & Hilltop Dr (SE Corner): BUS472S,40.4331915338749,-86.92314800162
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS509SW,18:29:42,18:29:42,4208.78,to Tower Acres and Physics,Tower Dr & Jischke Dr (SW Corner): BUS509SW,40.4329756160364,-86.9216929031427
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS562N,18:25:49,18:25:49,3036.67,to Tower Acres and Physics,Theta Chi on Tower Dr: BUS562N,40.4332438369539,-86.9261467114774
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS190,18:32:11,18:32:11,4929.87,to Tower Acres and Physics,Armstrong Hall on Stadium Ave (@Shelter): BUS190,40.431280459838,-86.9153011986793
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS146,23:45:00,23:45:00,0.0,to Tower Acres and Physics,Aviation Technology Bldg: BUS146,40.4165685425144,-86.9298910754854
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,5419,23:47:11,23:47:11,593.64,to Tower Acres and Physics,Airport Rd & Harrison St (NW corner),40.4215152208192,-86.9304708090822
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS566S,23:48:37,23:48:37,984.59,to Tower Acres and Physics,Purdue West on Mitch Daniels Blvd (South): BUS566S,40.4242021098257,-86.9293586569642
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS011,23:49:52,23:49:52,1322.93,to Tower Acres and Physics,Aspire Apts at Discovery Park: BUS011,40.4242,-86.925359
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS584SE,23:51:25,23:51:25,1742.0,to Tower Acres and Physics,1st St & Jischke Dr (East Corner): BUS584SE,40.4251770928608,-86.9218819988896
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS289,23:52:17,23:52:17,1977.98,to Tower Acres and Physics,Jischke Dr & 3rd St (SE Corner): BUS289,40.4272102074152,-86.9219798995244
